# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
常	CHN	巾	O/0.999641	O/0.999641	R-B/0.000000	R-I/0.000358
分	CHN	刀	O/0.992899	O/0.992899	R-B/0.006759	R-I/0.000342
泌	CHN	氵	O/0.992988	O/0.992988	R-B/0.000093	R-I/0.006920
物	CHN	牜	O/0.993097	O/0.993097	R-B/0.000015	R-I/0.006888
。	PUNC	-	O/0.999987	O/0.999987	R-B/0.000001	R-I/0.000012
左	CHN	工	R-B/0.989243	O/0.010743	R-B/0.989243	R-I/0.000014
侧	CHN	亻	R-I/0.989295	O/0.010685	R-B/0.000020	R-I/0.989295
阴	CHN	阝	R-I/0.989041	O/0.000035	R-B/0.010924	R-I/0.989041
囊	CHN	口	R-I/0.999969	O/0.000031	R-B/0.000000	R-I/0.999969
、	PUNC	-	O/0.939536	O/0.939536	R-B/0.000030	R-I/0.060435
睾	CHN	目	R-B/0.939521	O/0.000002	R-B/0.939521	R-I/0.060478
丸	CHN	丿	R-I/0.999975	O/0.000002	R-B/0.000023	R-I/0.999975
附	CHN	阝	R-I/0.999747	O/0.000036	R-B/0.000217	R-I/0.999747
睾	CHN	目	R-I/0.999629	O/0.000192	R-B/0.000180	R-I/0.999629
未	CHN	木	O/0.999957	O/0.999957	R-B/0.000000	R-I/0.000042
见	CHN	见	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
异	CHN	廾	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
常	CHN	巾	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
右	CHN	口	R-B/0.999803	O/0.000195	R-B/0.999803	R-I/0.000003
侧	CHN	亻	R-I/0.999848	O/0.000087	R-B/0.000065	R-I/0.999848
阴	CHN	阝	R-I/0.999908	O/0.000003	R-B/0.000089	R-I/0.999908
囊	CHN	口	R-I/0.999884	O/0.000101	R-B/0.000015	R-I/0.999884
肿	CHN	月	R-B/0.880840	O/0.118590	R-B/0.880840	R-I/0.000570
胀	CHN	月	R-I/0.880857	O/0.118967	R-B/0.000176	R-I/0.880857
,	PUNC	-	O/0.999992	O/0.999992	R-B/0.000000	R-I/0.000008
触	CHN	角	O/0.792847	O/0.792847	R-B/0.207145	R-I/0.000008
压	CHN	厂	R-B/0.809200	O/0.000699	R-B/0.809200	R-I/0.190101
痛	CHN	疒	R-I/0.998987	O/0.000807	R-B/0.000206	R-I/0.998987
明	CHN	日	O/0.999951	O/0.999951	R-B/0.000010	R-I/0.000039
显	CHN	日	O/0.999990	O/0.999990	R-B/0.000001	R-I/0.000009
,	PUNC	-	O/0.999978	O/0.999978	R-B/0.000019	R-I/0.000003
睾	CHN	目	R-B/0.922562	O/0.077265	R-B/0.922562	R-I/0.000173
丸	CHN	丿	R-I/0.921979	O/0.078015	R-B/0.000006	R-I/0.921979
、	PUNC	-	O/0.928499	O/0.928499	R-B/0.000335	R-I/0.071166
附	CHN	阝	R-B/0.910080	O/0.018428	R-B/0.910080	R-I/0.071492
睾	CHN	目	R-I/0.980655	O/0.018848	R-B/0.000497	R-I/0.980655
因	CHN	囗	O/0.978310	O/0.978310	R-B/0.000215	R-I/0.021475
疼	CHN	疒	R-B/0.999983	O/0.000000	R-B/0.999983	R-I/0.000017
痛	CHN	疒	R-I/0.999996	O/0.000004	R-B/0.000001	R-I/0.999996
未	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
透	CHN	辶	O/0.998366	O/0.998366	R-B/0.001633	R-I/0.000001
光	CHN	儿	O/0.998224	O/0.998224	R-B/0.000185	R-I/0.001591
试	CHN	讠	O/0.998181	O/0.998181	R-B/0.000055	R-I/0.001765
验	CHN	马	O/0.998102	O/0.998102	R-B/0.000073	R-I/0.001825
阴	CHN	阝	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000001
性	CHN	忄	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.200565
患	CHN	心	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
者	CHN	耂	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
神	CHN	礻	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
志	CHN	心	O/0.999915	O/0.999915	R-B/0.000085	R-I/0.000001
清	CHN	氵	O/0.999936	O/0.999936	R-B/0.000009	R-I/0.000055
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
精	CHN	米	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
神	CHN	礻	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
可	CHN	口	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
饮	CHN	饣	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
食	CHN	食	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
睡	CHN	目	O/0.999972	O/0.999972	R-B/0.000028	R-I/0.000000
眠	CHN	目	O/0.999973	O/0.999973	R-B/0.000020	R-I/0.000008
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
二	CHN	二	R-B/0.999505	O/0.000495	R-B/0.999505	R-I/0.000000
便	CHN	亻	R-I/0.999521	O/0.000475	R-B/0.000004	R-I/0.999521
正	CHN	止	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
常	CHN	巾	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
诉	CHN	讠	O/0.997795	O/0.997795	R-B/0.002204	R-I/0.000001
右	CHN	口	R-B/0.964499	O/0.033442	R-B/0.964499	R-I/0.002060
中	CHN	丨	R-I/0.966277	O/0.032778	R-B/0.000945	R-I/0.966277
指	CHN	扌	R-I/0.966936	O/0.030264	R-B/0.002800	R-I/0.966936
胀	CHN	月	R-I/0.867164	O/0.010308	R-B/0.122528	R-I/0.867164
痛	CHN	疒	R-I/0.985208	O/0.014074	R-B/0.000718	R-I/0.985208
不	CHN	一	O/0.999647	O/0.999647	R-B/0.000248	R-I/0.000105
适	CHN	辶	O/0.999684	O/0.999684	R-B/0.000030	R-I/0.000286
较	CHN	车	O/0.999997	O/0.999997	R-B/0.000001	R-I/0.000002
前	CHN	刂	O/0.999991	O/0.999991	R-B/0.000008	R-I/0.000001
好	CHN	女	O/0.999989	O/0.999989	R-B/0.000011	R-I/0.000000
转	CHN	车	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000001
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
发	CHN	又	R-B/0.999986	O/0.000014	R-B/0.999986	R-I/0.000000
热	CHN	灬	R-I/0.999978	O/0.000022	R-B/0.000000	R-I/0.999978
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
恶	CHN	心	R-B/0.999986	O/0.000014	R-B/0.999986	R-I/0.000001
心	CHN	心	R-I/0.999785	O/0.000093	R-B/0.000123	R-I/0.999785
呕	CHN	口	R-B/0.999981	O/0.000002	R-B/0.999981	R-I/0.000017
吐	CHN	口	R-I/0.999904	O/0.000077	R-B/0.000019	R-I/0.999904
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
无	CHN	无	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
腹	CHN	月	R-B/0.999995	O/0.000004	R-B/0.999995	R-I/0.000002
痛	CHN	疒	R-I/0.999824	O/0.000019	R-B/0.000158	R-I/0.999824
腹	CHN	月	R-B/0.999720	O/0.000027	R-B/0.999720	R-I/0.000253
泻	CHN	氵	R-I/0.807785	O/0.191202	R-B/0.001013	R-I/0.807785
,	PUNC	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
无	CHN	无	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
胸	CHN	月	R-B/0.999652	O/0.000334	R-B/0.999652	R-I/0.000015
闷	CHN	门	R-I/0.998365	O/0.000793	R-B/0.000842	R-I/0.998365
气	CHN	气	R-B/0.995649	O/0.000008	R-B/0.995649	R-I/0.004343
短	CHN	矢	R-I/0.998360	O/0.000637	R-B/0.001003	R-I/0.998360
及	CHN	又	O/0.999804	O/0.999804	R-B/0.000005	R-I/0.000191
呼	CHN	口	R-B/0.999906	O/0.000077	R-B/0.999906	R-I/0.000017
吸	CHN	口	R-I/0.999914	O/0.000074	R-B/0.000012	R-I/0.999914
困	CHN	囗	R-I/0.999891	O/0.000107	R-B/0.000002	R-I/0.999891
难	CHN	隹	R-I/0.999656	O/0.000344	R-B/0.000000	R-I/0.999656
。	PUNC	-	O/0.999989	O/0.999989	R-B/0.000000	R-I/0.000011
查	CHN	木	R-B/0.792576	O/0.207412	R-B/0.792576	R-I/0.000013
体	CHN	亻	R-I/0.792306	O/0.207606	R-B/0.000088	R-I/0.792306
各	CHN	口	O/0.999101	O/0.999101	R-B/0.000006	R-I/0.000894
项	CHN	页	O/0.999390	O/0.999390	R-B/0.000034	R-I/0.000576
生	CHN	生	O/0.999695	O/0.999695	R-B/0.000126	R-I/0.000179
命	CHN	口	O/0.999957	O/0.999957	R-B/0.000035	R-I/0.000007
体	CHN	亻	O/0.999994	O/0.999994	R-B/0.000000	R-I/0.000006
征	CHN	彳	O/0.999978	O/0.999978	R-B/0.000022	R-I/0.000001
平	CHN	干	O/0.999918	O/0.999918	R-B/0.000081	R-I/0.000000
稳	CHN	禾	O/0.999992	O/0.999992	R-B/0.000001	R-I/0.000007
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
心	CHN	心	R-B/0.999995	O/0.000004	R-B/0.999995	R-I/0.000001
肺	CHN	月	R-I/0.998208	O/0.000011	R-B/0.001781	R-I/0.998208
腹	CHN	月	R-I/0.996455	O/0.000400	R-B/0.003145	R-I/0.996455
查	CHN	木	R-I/0.981099	O/0.000098	R-B/0.018803	R-I/0.981099
体	CHN	亻	R-I/0.999834	O/0.000148	R-B/0.000018	R-I/0.999834
未	CHN	木	O/0.999992	O/0.999992	R-B/0.000002	R-I/0.000006
见	CHN	见	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
明	CHN	日	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
显	CHN	日	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
异	CHN	廾	O/0.999985	O/0.999985	R-B/0.000015	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
脊	CHN	月	R-B/0.999986	O/0.000005	R-B/0.999986	R-I/0.000009
柱	CHN	木	R-I/0.996090	O/0.000015	R-B/0.003896	R-I/0.996090
四	CHN	囗	R-B/0.999807	O/0.000005	R-B/0.999807	R-I/0.000188
肢	CHN	月	R-I/0.999949	O/0.000017	R-B/0.000033	R-I/0.999949
无	CHN	无	O/0.999996	O/0.999996	R-B/0.000001	R-I/0.000002
畸	CHN	田	R-B/0.999959	O/0.000040	R-B/0.999959	R-I/0.000000
形	CHN	彡	R-I/0.999583	O/0.000411	R-B/0.000006	R-I/0.999583
。	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000001
双	CHN	又	R-B/0.999942	O/0.000058	R-B/0.999942	R-I/0.000000
下	CHN	一	R-I/0.999776	O/0.000013	R-B/0.000211	R-I/0.999776
肢	CHN	月	R-I/0.999983	O/0.000016	R-B/0.000002	R-I/0.999983
无	CHN	无	O/0.999996	O/0.999996	R-B/0.000001	R-I/0.000003
水	CHN	水	R-B/0.998046	O/0.001953	R-B/0.998046	R-I/0.000001
肿	CHN	月	R-I/0.997811	O/0.002170	R-B/0.000019	R-I/0.997811
,	PUNC	-	O/0.999991	O/0.999991	R-B/0.000004	R-I/0.000005
右	CHN	口	R-B/0.999992	O/0.000006	R-B/0.999992	R-I/0.000002
手	CHN	手	R-I/0.999990	O/0.000005	R-B/0.000005	R-I/0.999990
中	CHN	丨	R-I/0.999761	O/0.000001	R-B/0.000238	R-I/0.999761
指	CHN	扌	R-I/0.999996	O/0.000000	R-B/0.000004	R-I/0.999996
末	CHN	木	R-I/0.999771	O/0.000170	R-B/0.000058	R-I/0.999771
节	CHN	艹	R-I/0.998174	O/0.001797	R-B/0.000029	R-I/0.998174
局	CHN	尸	O/0.996357	O/0.996357	R-B/0.000105	R-I/0.003538
部	CHN	阝	O/0.996280	O/0.996280	R-B/0.000257	R-I/0.003463
红	CHN	纟	R-B/0.999664	O/0.000320	R-B/0.999664	R-I/0.000016
肿	CHN	月	R-I/0.999677	O/0.000317	R-B/0.000006	R-I/0.999677
。	PUNC	-	O/0.987197	O/0.987197	R-B/0.000007	R-I/0.012796
指	CHN	扌	R-B/0.960740	O/0.026283	R-B/0.960740	R-I/0.012977
骨	CHN	骨	R-I/0.972749	O/0.024585	R-B/0.002666	R-I/0.972749
末	CHN	木	R-I/0.972302	O/0.027516	R-B/0.000183	R-I/0.972302
端	CHN	立	R-I/0.953011	O/0.046971	R-B/0.000018	R-I/0.953011
局	CHN	尸	O/0.939565	O/0.939565	R-B/0.000739	R-I/0.059696
部	CHN	阝	O/0.939293	O/0.939293	R-B/0.000762	R-I/0.059945
压	CHN	厂	R-B/0.999788	O/0.000066	R-B/0.999788	R-I/0.000145
痛	CHN	疒	R-I/0.999903	O/0.000075	R-B/0.000022	R-I/0.999903
叩	CHN	口	R-B/0.997188	O/0.001750	R-B/0.997188	R-I/0.001062
击	CHN	凵	R-I/0.997993	O/0.001880	R-B/0.000127	R-I/0.997993
痛	CHN	疒	R-I/0.997572	O/0.002411	R-B/0.000016	R-I/0.997572
阳	CHN	阝	O/0.974475	O/0.974475	R-B/0.000067	R-I/0.025459
,	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
未	CHN	木	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
触	CHN	角	O/0.999927	O/0.999927	R-B/0.000072	R-I/0.000000
及	CHN	又	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
骨	CHN	骨	O/0.990787	O/0.990787	R-B/0.009213	R-I/0.000000
擦	CHN	扌	O/0.999452	O/0.999452	R-B/0.000057	R-I/0.000491
感	CHN	心	O/0.999713	O/0.999713	R-B/0.000001	R-I/0.000286
。	PUNC	-	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
四	CHN	囗	R-B/0.999976	O/0.000023	R-B/0.999976	R-I/0.000002
肢	CHN	月	R-I/0.999975	O/0.000013	R-B/0.000011	R-I/0.999975
皮	CHN	皮	R-I/0.999510	O/0.000317	R-B/0.000173	R-I/0.999510
肤	CHN	月	R-I/0.999652	O/0.000335	R-B/0.000013	R-I/0.999652
感	CHN	心	O/0.999987	O/0.999987	R-B/0.000001	R-I/0.000012
觉	CHN	见	O/0.999985	O/0.999985	R-B/0.000014	R-I/0.000001
正	CHN	止	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
肌	CHN	月	R-B/0.999994	O/0.000006	R-B/0.999994	R-I/0.000000
力	CHN	力	R-I/0.996667	O/0.003329	R-B/0.000004	R-I/0.996667
正	CHN	止	O/0.999883	O/0.999883	R-B/0.000004	R-I/0.000113
常	CHN	巾	O/0.999971	O/0.999971	R-B/0.000000	R-I/0.000029
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
肌	CHN	月	R-B/0.999662	O/0.000338	R-B/0.999662	R-I/0.000000
张	CHN	弓	R-I/0.989750	O/0.010046	R-B/0.000204	R-I/0.989750
力	CHN	力	R-I/0.989686	O/0.010308	R-B/0.000006	R-I/0.989686
不	CHN	一	O/0.999983	O/0.999983	R-B/0.000000	R-I/0.000016
高	CHN	高	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
各	CHN	口	R-B/0.854509	O/0.145470	R-B/0.854509	R-I/0.000021
足	CHN	足	R-I/0.853739	O/0.004193	R-B/0.142069	R-I/0.853739
趾	CHN	足	R-I/0.995736	O/0.004233	R-B/0.000031	R-I/0.995736
活	CHN	氵	O/0.999413	O/0.999413	R-B/0.000005	R-I/0.000582
动	CHN	力	O/0.999965	O/0.999965	R-B/0.000000	R-I/0.000035
功	CHN	力	O/0.999972	O/0.999972	R-B/0.000003	R-I/0.000024
能	CHN	月	O/0.999420	O/0.999420	R-B/0.000552	R-I/0.000028
无	CHN	无	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
障	CHN	阝	O/0.998836	O/0.998836	R-B/0.001164	R-I/0.000000
碍	CHN	石	O/0.998781	O/0.998781	R-B/0.000043	R-I/0.001176
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
足	CHN	足	R-B/0.999339	O/0.000660	R-B/0.999339	R-I/0.000001
背	CHN	月	R-I/0.995524	O/0.001873	R-B/0.002603	R-I/0.995524
伸	CHN	亻	O/0.624798	O/0.624798	R-B/0.000490	R-I/0.374712
力	CHN	力	O/0.624719	O/0.624719	R-B/0.000073	R-I/0.375208
正	CHN	止	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
常	CHN	巾	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
末	CHN	木	O/0.998936	O/0.998936	R-B/0.001063	R-I/0.000001
梢	CHN	木	O/0.998878	O/0.998878	R-B/0.000098	R-I/0.001024
血	CHN	血	O/0.999783	O/0.999783	R-B/0.000168	R-I/0.000049
运	CHN	辶	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
正	CHN	止	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
双	CHN	又	R-B/0.998770	O/0.001214	R-B/0.998770	R-I/0.000017
侧	CHN	亻	R-I/0.998803	O/0.001186	R-B/0.000011	R-I/0.998803
肱	CHN	月	R-I/0.998807	O/0.001171	R-B/0.000022	R-I/0.998807
二	CHN	二	R-I/0.998643	O/0.001357	R-B/0.000000	R-I/0.998643
、	PUNC	-	R-I/0.957477	O/0.042465	R-B/0.000057	R-I/0.957477
三	CHN	一	R-I/0.957511	O/0.021784	R-B/0.020705	R-I/0.957511
头	CHN	大	R-I/0.978235	O/0.021485	R-B/0.000280	R-I/0.978235
肌	CHN	月	R-I/0.978252	O/0.021644	R-B/0.000104	R-I/0.978252
反	CHN	又	R-I/0.933471	O/0.065975	R-B/0.000554	R-I/0.933471
射	CHN	寸	R-I/0.933600	O/0.066399	R-B/0.000001	R-I/0.933600
、	PUNC	-	O/0.999123	O/0.999123	R-B/0.000004	R-I/0.000873
膝	CHN	月	R-B/0.961396	O/0.037019	R-B/0.961396	R-I/0.001585
腱	CHN	月	R-I/0.962809	O/0.037001	R-B/0.000191	R-I/0.962809
反	CHN	又	R-I/0.958090	O/0.041564	R-B/0.000346	R-I/0.958090
射	CHN	寸	R-I/0.958380	O/0.041573	R-B/0.000048	R-I/0.958380
正	CHN	止	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
常	CHN	巾	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
双	CHN	又	O/0.998927	O/0.998927	R-B/0.001073	R-I/0.000000
侧	CHN	亻	O/0.998910	O/0.998910	R-B/0.000021	R-I/0.001069
巴	CHN	巳	R-B/0.998609	O/0.000287	R-B/0.998609	R-I/0.001104
彬	CHN	彡	R-I/0.999723	O/0.000121	R-B/0.000156	R-I/0.999723
斯	CHN	斤	R-I/0.999836	O/0.000112	R-B/0.000053	R-I/0.999836
基	CHN	土	R-I/0.999849	O/0.000107	R-B/0.000044	R-I/0.999849
氏	CHN	氏	R-I/0.999859	O/0.000129	R-B/0.000012	R-I/0.999859
征	CHN	彳	R-I/0.999802	O/0.000198	R-B/0.000000	R-I/0.999802
、	PUNC	-	O/0.999970	O/0.999970	R-B/0.000000	R-I/0.000029
克	CHN	十	R-B/0.999967	O/0.000007	R-B/0.999967	R-I/0.000026
尼	CHN	尸	R-I/0.999956	O/0.000003	R-B/0.000040	R-I/0.999956
格	CHN	木	R-I/0.999984	O/0.000004	R-B/0.000012	R-I/0.999984
氏	CHN	氏	R-I/0.999953	O/0.000031	R-B/0.000016	R-I/0.999953
征	CHN	彳	R-I/0.999664	O/0.000335	R-B/0.000001	R-I/0.999664
阴	CHN	阝	O/0.999729	O/0.999729	R-B/0.000012	R-I/0.000259
性	CHN	忄	O/0.999963	O/0.999963	R-B/0.000000	R-I/0.000037
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.405420
患	CHN	心	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
者	CHN	耂	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
今	CHN	人	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
日	CHN	日	O/0.999994	O/0.999994	R-B/0.000006	R-I/0.000000
神	CHN	礻	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
志	CHN	心	O/0.999944	O/0.999944	R-B/0.000056	R-I/0.000000
清	CHN	氵	O/0.999968	O/0.999968	R-B/0.000002	R-I/0.000030
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
精	CHN	米	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
神	CHN	礻	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
睡	CHN	目	O/0.999983	O/0.999983	R-B/0.000017	R-I/0.000000
眠	CHN	目	O/0.999987	O/0.999987	R-B/0.000010	R-I/0.000002
可	CHN	口	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
二	CHN	二	R-B/0.999505	O/0.000495	R-B/0.999505	R-I/0.000000
便	CHN	亻	R-I/0.999521	O/0.000474	R-B/0.000004	R-I/0.999521
正	CHN	止	O/0.999954	O/0.999954	R-B/0.000001	R-I/0.000046
常	CHN	巾	O/0.999979	O/0.999979	R-B/0.000000	R-I/0.000021
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
诉	CHN	讠	O/0.968831	O/0.968831	R-B/0.031166	R-I/0.000003
左	CHN	工	R-B/0.957131	O/0.011829	R-B/0.957131	R-I/0.031040
侧	CHN	亻	R-I/0.988341	O/0.004379	R-B/0.007280	R-I/0.988341
臀	CHN	月	R-I/0.995581	O/0.000001	R-B/0.004418	R-I/0.995581
部	CHN	阝	R-I/0.999999	O/0.000001	R-B/0.000000	R-I/0.999999
疼	CHN	疒	R-B/0.999857	O/0.000123	R-B/0.999857	R-I/0.000020
痛	CHN	疒	R-I/0.999697	O/0.000233	R-B/0.000069	R-I/0.999697
不	CHN	一	O/0.999985	O/0.999985	R-B/0.000014	R-I/0.000001
适	CHN	辶	O/0.999990	O/0.999990	R-B/0.000003	R-I/0.000008
较	CHN	车	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
前	CHN	刂	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
好	CHN	女	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
转	CHN	车	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
头	CHN	大	R-B/0.999461	O/0.000539	R-B/0.999461	R-I/0.000000
痛	CHN	疒	R-I/0.999428	O/0.000571	R-B/0.000001	R-I/0.999428
、	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
头	CHN	大	R-B/0.999749	O/0.000251	R-B/0.999749	R-I/0.000000
晕	CHN	日	R-I/0.998831	O/0.001168	R-B/0.000001	R-I/0.998831
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999920	O/0.999920	R-B/0.000080	R-I/0.000000
恶	CHN	心	R-B/0.996011	O/0.003971	R-B/0.996011	R-I/0.000018
心	CHN	心	R-I/0.996001	O/0.003974	R-B/0.000025	R-I/0.996001
、	PUNC	-	O/0.999888	O/0.999888	R-B/0.000014	R-I/0.000097
呕	CHN	口	R-B/0.999796	O/0.000204	R-B/0.999796	R-I/0.000001
吐	CHN	口	R-I/0.999779	O/0.000221	R-B/0.000000	R-I/0.999779
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
无	CHN	无	O/0.999969	O/0.999969	R-B/0.000031	R-I/0.000000
腹	CHN	月	R-B/0.999988	O/0.000004	R-B/0.999988	R-I/0.000009
痛	CHN	疒	R-I/0.999824	O/0.000019	R-B/0.000158	R-I/0.999824
腹	CHN	月	R-B/0.999720	O/0.000027	R-B/0.999720	R-I/0.000253
泻	CHN	氵	R-I/0.807785	O/0.191202	R-B/0.001013	R-I/0.807785
,	PUNC	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
无	CHN	无	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
胸	CHN	月	R-B/0.999652	O/0.000334	R-B/0.999652	R-I/0.000015
闷	CHN	门	R-I/0.998365	O/0.000793	R-B/0.000842	R-I/0.998365
气	CHN	气	R-B/0.995649	O/0.000008	R-B/0.995649	R-I/0.004343
短	CHN	矢	R-I/0.998360	O/0.000637	R-B/0.001003	R-I/0.998360
及	CHN	又	O/0.999806	O/0.999806	R-B/0.000005	R-I/0.000189
呼	CHN	口	R-B/0.991212	O/0.008771	R-B/0.991212	R-I/0.000017
吸	CHN	口	R-I/0.991044	O/0.008952	R-B/0.000004	R-I/0.991044
困	CHN	囗	R-I/0.979168	O/0.020818	R-B/0.000014	R-I/0.979168
难	CHN	隹	R-I/0.974524	O/0.025467	R-B/0.000009	R-I/0.974524
。	PUNC	-	O/0.999994	O/0.999994	R-B/0.000002	R-I/0.000004
心	CHN	心	R-B/0.999925	O/0.000069	R-B/0.999925	R-I/0.000006
肺	CHN	月	R-I/0.992167	O/0.000100	R-B/0.007733	R-I/0.992167
腹	CHN	月	R-I/0.978346	O/0.000646	R-B/0.021009	R-I/0.978346
查	CHN	木	R-I/0.980350	O/0.000221	R-B/0.019429	R-I/0.980350
体	CHN	亻	R-I/0.999508	O/0.000412	R-B/0.000080	R-I/0.999508
未	CHN	木	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
见	CHN	见	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
异	CHN	廾	O/0.999991	O/0.999991	R-B/0.000009	R-I/0.000000
