# 0.000976
①	OTHER	O/0.944913	Bo-B/0.006526	Bo-I/0.006098	Ch-B/0.005691	Ch-I/0.003847	DT-B/0.001284	DT-I/0.001297	O/0.944913	Si-B/0.002545	Si-I/0.001000	Sy-B/0.008803	Sy-I/0.011777	Tr-B/0.001827	Tr-I/0.001805	unct-B/0.001245	unct-I/0.001342
m	ENG	O/0.999188	Bo-B/0.000014	Bo-I/0.000009	Ch-B/0.000055	Ch-I/0.000028	DT-B/0.000007	DT-I/0.000002	O/0.999188	Si-B/0.000028	Si-I/0.000039	Sy-B/0.000078	Sy-I/0.000519	Tr-B/0.000014	Tr-I/0.000005	unct-B/0.000010	unct-I/0.000005
m	ENG	O/0.999399	Bo-B/0.000012	Bo-I/0.000006	Ch-B/0.000025	Ch-I/0.000049	DT-B/0.000006	DT-I/0.000003	O/0.999399	Si-B/0.000012	Si-I/0.000034	Sy-B/0.000015	Sy-I/0.000408	Tr-B/0.000010	Tr-I/0.000005	unct-B/0.000005	unct-I/0.000010
,	PUNC	O/0.999974	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000006	Ch-I/0.000000	DT-B/0.000001	DT-I/0.000000	O/0.999974	Si-B/0.000002	Si-I/0.000000	Sy-B/0.000012	Sy-I/0.000002	Tr-B/0.000002	Tr-I/0.000000	unct-B/0.000001	unct-I/0.000000
对	CHN	Ch-B/0.990287	Bo-B/0.000302	Bo-I/0.000000	Ch-B/0.990287	Ch-I/0.000079	DT-B/0.000125	DT-I/0.000005	O/0.007725	Si-B/0.000076	Si-I/0.000000	Sy-B/0.000492	Sy-I/0.000001	Tr-B/0.000687	Tr-I/0.000001	unct-B/0.000216	unct-I/0.000002
光	CHN	Ch-I/0.992799	Bo-B/0.000013	Bo-I/0.000065	Ch-B/0.001822	Ch-I/0.992799	DT-B/0.000005	DT-I/0.000019	O/0.004644	Si-B/0.000055	Si-I/0.000011	Sy-B/0.000064	Sy-I/0.000268	Tr-B/0.000037	Tr-I/0.000165	unct-B/0.000007	unct-I/0.000025
反	CHN	Ch-I/0.994405	Bo-B/0.000006	Bo-I/0.000059	Ch-B/0.000108	Ch-I/0.994405	DT-B/0.000001	DT-I/0.000009	O/0.004899	Si-B/0.000006	Si-I/0.000037	Sy-B/0.000028	Sy-I/0.000302	Tr-B/0.000011	Tr-I/0.000116	unct-B/0.000002	unct-I/0.000011
射	CHN	Ch-I/0.989352	Bo-B/0.000009	Bo-I/0.000177	Ch-B/0.000003	Ch-I/0.989352	DT-B/0.000005	DT-I/0.000054	O/0.009557	Si-B/0.000027	Si-I/0.000087	Sy-B/0.000030	Sy-I/0.000424	Tr-B/0.000022	Tr-I/0.000201	unct-B/0.000008	unct-I/0.000044
灵	CHN	O/0.977086	Bo-B/0.000116	Bo-I/0.000109	Ch-B/0.000015	Ch-I/0.014386	DT-B/0.000030	DT-I/0.000593	O/0.977086	Si-B/0.000097	Si-I/0.001418	Sy-B/0.001609	Sy-I/0.002455	Tr-B/0.000242	Tr-I/0.001147	unct-B/0.000053	unct-I/0.000643
敏	CHN	O/0.985619	Bo-B/0.000033	Bo-I/0.000168	Ch-B/0.000050	Ch-I/0.004803	DT-B/0.000020	DT-I/0.000640	O/0.985619	Si-B/0.000031	Si-I/0.001786	Sy-B/0.000139	Sy-I/0.004561	Tr-B/0.000039	Tr-I/0.001369	unct-B/0.000017	unct-I/0.000726
,	PUNC	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000001	DT-B/0.000000	DT-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
双	CHN	Ch-B/0.964053	Bo-B/0.012454	Bo-I/0.000002	Ch-B/0.964053	Ch-I/0.000241	DT-B/0.000315	DT-I/0.000016	O/0.010544	Si-B/0.001693	Si-I/0.000002	Sy-B/0.009545	Sy-I/0.000004	Tr-B/0.000635	Tr-I/0.000004	unct-B/0.000484	unct-I/0.000008
眼	CHN	Ch-I/0.971931	Bo-B/0.000013	Bo-I/0.007602	Ch-B/0.005445	Ch-I/0.971931	DT-B/0.000015	DT-I/0.000116	O/0.005192	Si-B/0.000028	Si-I/0.000640	Sy-B/0.000249	Sy-I/0.008301	Tr-B/0.000045	Tr-I/0.000260	unct-B/0.000022	unct-I/0.000141
各	CHN	Ch-I/0.982059	Bo-B/0.000008	Bo-I/0.002847	Ch-B/0.000728	Ch-I/0.982059	DT-B/0.000005	DT-I/0.000052	O/0.005822	Si-B/0.000008	Si-I/0.000365	Sy-B/0.000089	Sy-I/0.007876	Tr-B/0.000018	Tr-I/0.000052	unct-B/0.000007	unct-I/0.000063
向	CHN	Ch-I/0.983364	Bo-B/0.000010	Bo-I/0.001547	Ch-B/0.000567	Ch-I/0.983364	DT-B/0.000004	DT-I/0.000034	O/0.005978	Si-B/0.000009	Si-I/0.000267	Sy-B/0.000200	Sy-I/0.007875	Tr-B/0.000030	Tr-I/0.000068	unct-B/0.000006	unct-I/0.000041
活	CHN	Ch-I/0.982558	Bo-B/0.000038	Bo-I/0.001258	Ch-B/0.000149	Ch-I/0.982558	DT-B/0.000003	DT-I/0.000031	O/0.006701	Si-B/0.000011	Si-I/0.000226	Sy-B/0.000483	Sy-I/0.008360	Tr-B/0.000016	Tr-I/0.000117	unct-B/0.000007	unct-I/0.000042
动	CHN	Ch-I/0.971844	Bo-B/0.000023	Bo-I/0.001518	Ch-B/0.000010	Ch-I/0.971844	DT-B/0.000010	DT-I/0.000104	O/0.015137	Si-B/0.000015	Si-I/0.000258	Sy-B/0.000317	Sy-I/0.010400	Tr-B/0.000027	Tr-I/0.000194	unct-B/0.000017	unct-I/0.000126
不	CHN	O/0.941224	Bo-B/0.000051	Bo-I/0.000947	Ch-B/0.000030	Ch-I/0.027882	DT-B/0.000043	DT-I/0.000408	O/0.941224	Si-B/0.000195	Si-I/0.000530	Sy-B/0.001492	Sy-I/0.025386	Tr-B/0.000294	Tr-I/0.000647	unct-B/0.000106	unct-I/0.000764
受	CHN	O/0.948356	Bo-B/0.000063	Bo-I/0.000151	Ch-B/0.000035	Ch-I/0.007947	DT-B/0.000013	DT-I/0.000281	O/0.948356	Si-B/0.000075	Si-I/0.000761	Sy-B/0.012305	Sy-I/0.028049	Tr-B/0.000271	Tr-I/0.000908	unct-B/0.000022	unct-I/0.000762
限	CHN	O/0.952555	Bo-B/0.000031	Bo-I/0.000132	Ch-B/0.000049	Ch-I/0.003084	DT-B/0.000019	DT-I/0.000358	O/0.952555	Si-B/0.000030	Si-I/0.000939	Sy-B/0.000132	Sy-I/0.040735	Tr-B/0.000038	Tr-I/0.001133	unct-B/0.000016	unct-I/0.000751
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
双	CHN	O/0.966625	Bo-B/0.018826	Bo-I/0.000003	Ch-B/0.006113	Ch-I/0.000003	DT-B/0.000066	DT-I/0.000005	O/0.966625	Si-B/0.000842	Si-I/0.000002	Sy-B/0.007252	Sy-I/0.000002	Tr-B/0.000147	Tr-I/0.000003	unct-B/0.000110	unct-I/0.000002
侧	CHN	O/0.974809	Bo-B/0.000012	Bo-I/0.013477	Ch-B/0.000012	Ch-I/0.004262	DT-B/0.000002	DT-I/0.000014	O/0.974809	Si-B/0.000011	Si-I/0.000562	Sy-B/0.000023	Sy-I/0.006685	Tr-B/0.000017	Tr-I/0.000080	unct-B/0.000003	unct-I/0.000031
鼻	CHN	O/0.982454	Bo-B/0.000199	Bo-I/0.007828	Ch-B/0.000079	Ch-I/0.002393	DT-B/0.000006	DT-I/0.000024	O/0.982454	Si-B/0.000025	Si-I/0.000462	Sy-B/0.000324	Sy-I/0.006019	Tr-B/0.000065	Tr-I/0.000081	unct-B/0.000009	unct-I/0.000031
唇	CHN	O/0.988501	Bo-B/0.000081	Bo-I/0.004138	Ch-B/0.000070	Ch-I/0.001082	DT-B/0.000004	DT-I/0.000017	O/0.988501	Si-B/0.000022	Si-I/0.000271	Sy-B/0.000160	Sy-I/0.005477	Tr-B/0.000057	Tr-I/0.000094	unct-B/0.000005	unct-I/0.000022
沟	CHN	O/0.990854	Bo-B/0.000014	Bo-I/0.002933	Ch-B/0.000024	Ch-I/0.000667	DT-B/0.000005	DT-I/0.000019	O/0.990854	Si-B/0.000030	Si-I/0.000183	Sy-B/0.000163	Sy-I/0.004920	Tr-B/0.000051	Tr-I/0.000110	unct-B/0.000008	unct-I/0.000019
对	CHN	O/0.995500	Bo-B/0.000001	Bo-I/0.000009	Ch-B/0.000003	Ch-I/0.000019	DT-B/0.000001	DT-I/0.000005	O/0.995500	Si-B/0.000001	Si-I/0.000095	Sy-B/0.000369	Sy-I/0.003905	Tr-B/0.000022	Tr-I/0.000060	unct-B/0.000001	unct-I/0.000009
称	CHN	O/0.994793	Bo-B/0.000045	Bo-I/0.000006	Ch-B/0.000049	Ch-I/0.000017	DT-B/0.000017	DT-I/0.000086	O/0.994793	Si-B/0.000085	Si-I/0.000129	Sy-B/0.000141	Sy-I/0.004399	Tr-B/0.000035	Tr-I/0.000119	unct-B/0.000014	unct-I/0.000063
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
口	CHN	O/0.910955	Bo-B/0.028534	Bo-I/0.000113	Ch-B/0.002680	Ch-I/0.000003	DT-B/0.000151	DT-I/0.000008	O/0.910955	Si-B/0.000704	Si-I/0.000002	Sy-B/0.055821	Sy-I/0.000007	Tr-B/0.000679	Tr-I/0.000004	unct-B/0.000334	unct-I/0.000004
角	CHN	O/0.911066	Bo-B/0.000069	Bo-I/0.030003	Ch-B/0.000079	Ch-I/0.002371	DT-B/0.000020	DT-I/0.000124	O/0.911066	Si-B/0.000078	Si-I/0.000553	Sy-B/0.000105	Sy-I/0.054575	Tr-B/0.000111	Tr-I/0.000605	unct-B/0.000044	unct-I/0.000197
无	CHN	O/0.979186	Bo-B/0.000001	Bo-I/0.000087	Ch-B/0.000004	Ch-I/0.000083	DT-B/0.000001	DT-I/0.000011	O/0.979186	Si-B/0.000010	Si-I/0.000208	Sy-B/0.000033	Sy-I/0.020106	Tr-B/0.000021	Tr-I/0.000152	unct-B/0.000003	unct-I/0.000095
歪	CHN	O/0.945392	Bo-B/0.000138	Bo-I/0.000036	Ch-B/0.000118	Ch-I/0.000094	DT-B/0.000026	DT-I/0.000092	O/0.945392	Si-B/0.000855	Si-I/0.000264	Sy-B/0.031868	Sy-I/0.019987	Tr-B/0.000640	Tr-I/0.000255	unct-B/0.000056	unct-I/0.000181
斜	CHN	O/0.945782	Bo-B/0.000022	Bo-I/0.000125	Ch-B/0.000037	Ch-I/0.000137	DT-B/0.000013	DT-I/0.000185	O/0.945782	Si-B/0.000022	Si-I/0.001186	Sy-B/0.000103	Sy-I/0.051198	Tr-B/0.000028	Tr-I/0.000887	unct-B/0.000011	unct-I/0.000264
,	PUNC	O/0.999997	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999997	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
双	CHN	Ch-B/0.980407	Bo-B/0.007161	Bo-I/0.000001	Ch-B/0.980407	Ch-I/0.000125	DT-B/0.000151	DT-I/0.000008	O/0.007327	Si-B/0.001103	Si-I/0.000001	Sy-B/0.003156	Sy-I/0.000000	Tr-B/0.000273	Tr-I/0.000002	unct-B/0.000281	unct-I/0.000004
侧	CHN	Ch-I/0.986022	Bo-B/0.000005	Bo-I/0.004166	Ch-B/0.000926	Ch-I/0.986022	DT-B/0.000007	DT-I/0.000046	O/0.006310	Si-B/0.000009	Si-I/0.000453	Sy-B/0.000005	Sy-I/0.001837	Tr-B/0.000021	Tr-I/0.000080	unct-B/0.000014	unct-I/0.000099
软	CHN	Ch-I/0.989842	Bo-B/0.000013	Bo-I/0.001969	Ch-B/0.001179	Ch-I/0.989842	DT-B/0.000005	DT-I/0.000032	O/0.005370	Si-B/0.000010	Si-I/0.000254	Sy-B/0.000018	Sy-I/0.001158	Tr-B/0.000027	Tr-I/0.000052	unct-B/0.000007	unct-I/0.000065
腭	CHN	Ch-I/0.991462	Bo-B/0.000033	Bo-I/0.001655	Ch-B/0.000784	Ch-I/0.991462	DT-B/0.000003	DT-I/0.000025	O/0.004730	Si-B/0.000011	Si-I/0.000173	Sy-B/0.000030	Sy-I/0.000960	Tr-B/0.000029	Tr-I/0.000065	unct-B/0.000005	unct-I/0.000034
抬	CHN	Ch-I/0.990546	Bo-B/0.000059	Bo-I/0.001703	Ch-B/0.000186	Ch-I/0.990546	DT-B/0.000003	DT-I/0.000037	O/0.006213	Si-B/0.000007	Si-I/0.000151	Sy-B/0.000016	Sy-I/0.000901	Tr-B/0.000023	Tr-I/0.000111	unct-B/0.000005	unct-I/0.000037
举	CHN	Ch-I/0.978473	Bo-B/0.000022	Bo-I/0.002310	Ch-B/0.000008	Ch-I/0.978473	DT-B/0.000011	DT-I/0.000144	O/0.017638	Si-B/0.000009	Si-I/0.000160	Sy-B/0.000006	Sy-I/0.000872	Tr-B/0.000018	Tr-I/0.000229	unct-B/0.000014	unct-I/0.000085
对	CHN	O/0.990058	Bo-B/0.000015	Bo-I/0.000096	Ch-B/0.000011	Ch-I/0.009364	DT-B/0.000004	DT-I/0.000049	O/0.990058	Si-B/0.000002	Si-I/0.000021	Sy-B/0.000011	Sy-I/0.000239	Tr-B/0.000022	Tr-I/0.000071	unct-B/0.000006	unct-I/0.000033
称	CHN	O/0.995903	Bo-B/0.000015	Bo-I/0.000063	Ch-B/0.000020	Ch-I/0.003474	DT-B/0.000004	DT-I/0.000024	O/0.995903	Si-B/0.000047	Si-I/0.000010	Sy-B/0.000113	Sy-I/0.000211	Tr-B/0.000026	Tr-I/0.000061	unct-B/0.000006	unct-I/0.000022
有	CHN	O/0.998512	Bo-B/0.000003	Bo-I/0.000001	Ch-B/0.000007	Ch-I/0.000292	DT-B/0.000001	DT-I/0.000008	O/0.998512	Si-B/0.000002	Si-I/0.000026	Sy-B/0.000832	Sy-I/0.000265	Tr-B/0.000013	Tr-I/0.000025	unct-B/0.000001	unct-I/0.000011
力	CHN	O/0.996793	Bo-B/0.000064	Bo-I/0.000015	Ch-B/0.000104	Ch-I/0.000290	DT-B/0.000037	DT-I/0.000248	O/0.996793	Si-B/0.000225	Si-I/0.000084	Sy-B/0.000337	Sy-I/0.001489	Tr-B/0.000081	Tr-I/0.000083	unct-B/0.000031	unct-I/0.000119
,	PUNC	O/0.999999	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999999	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
伸	CHN	Ch-B/0.988391	Bo-B/0.001857	Bo-I/0.000003	Ch-B/0.988391	Ch-I/0.000046	DT-B/0.000067	DT-I/0.000003	O/0.007635	Si-B/0.000339	Si-I/0.000001	Sy-B/0.001130	Sy-I/0.000001	Tr-B/0.000388	Tr-I/0.000001	unct-B/0.000136	unct-I/0.000002
舌	CHN	Ch-I/0.988219	Bo-B/0.000006	Bo-I/0.001791	Ch-B/0.000004	Ch-I/0.988219	DT-B/0.000004	DT-I/0.000064	O/0.008118	Si-B/0.000007	Si-I/0.000267	Sy-B/0.000029	Sy-I/0.001057	Tr-B/0.000009	Tr-I/0.000343	unct-B/0.000006	unct-I/0.000073
居	CHN	O/0.988267	Bo-B/0.000051	Bo-I/0.000070	Ch-B/0.000006	Ch-I/0.009236	DT-B/0.000008	DT-I/0.000165	O/0.988267	Si-B/0.000022	Si-I/0.000362	Sy-B/0.000195	Sy-I/0.001009	Tr-B/0.000054	Tr-I/0.000230	unct-B/0.000023	unct-I/0.000303
中	CHN	O/0.994684	Bo-B/0.000027	Bo-I/0.000093	Ch-B/0.000040	Ch-I/0.002434	DT-B/0.000012	DT-I/0.000162	O/0.994684	Si-B/0.000021	Si-I/0.000455	Sy-B/0.000054	Sy-I/0.001295	Tr-B/0.000047	Tr-I/0.000275	unct-B/0.000010	unct-I/0.000389
。	PUNC	O/1.000000	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/1.000000	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
颈	CHN	O/0.955124	Bo-B/0.020985	Bo-I/0.000002	Ch-B/0.005170	Ch-I/0.000008	DT-B/0.000221	DT-I/0.000018	O/0.955124	Si-B/0.001161	Si-I/0.000009	Sy-B/0.003794	Sy-I/0.000003	Tr-B/0.009359	Tr-I/0.000033	unct-B/0.004097	unct-I/0.000016
软	CHN	O/0.962081	Bo-B/0.000021	Bo-I/0.014998	Ch-B/0.000024	Ch-I/0.004615	DT-B/0.000015	DT-I/0.000270	O/0.962081	Si-B/0.000016	Si-I/0.001380	Sy-B/0.000041	Sy-I/0.003609	Tr-B/0.000020	Tr-I/0.009990	unct-B/0.000013	unct-I/0.002907
、	PUNC	O/0.999850	Bo-B/0.000000	Bo-I/0.000039	Ch-B/0.000000	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999850	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000000	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000003	unct-B/0.000003	unct-I/0.000103
无	CHN	O/0.979314	Bo-B/0.000625	Bo-I/0.000001	Ch-B/0.001568	Ch-I/0.000001	DT-B/0.000217	DT-I/0.000008	O/0.979314	Si-B/0.001976	Si-I/0.000003	Sy-B/0.002164	Sy-I/0.000001	Tr-B/0.005811	Tr-I/0.000007	unct-B/0.006345	unct-I/0.001957
抵	CHN	O/0.947614	Bo-B/0.000370	Bo-I/0.000288	Ch-B/0.000297	Ch-I/0.001327	DT-B/0.000044	DT-I/0.000191	O/0.947614	Si-B/0.000909	Si-I/0.001578	Sy-B/0.020395	Sy-I/0.001782	Tr-B/0.001465	Tr-I/0.005197	unct-B/0.000814	unct-I/0.017730
抗	CHN	O/0.947964	Bo-B/0.000041	Bo-I/0.000510	Ch-B/0.000068	Ch-I/0.001034	DT-B/0.000025	DT-I/0.000274	O/0.947964	Si-B/0.000034	Si-I/0.002491	Sy-B/0.000135	Sy-I/0.021458	Tr-B/0.000069	Tr-I/0.006218	unct-B/0.000021	unct-I/0.019658
。	PUNC	O/0.999987	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000001	DT-B/0.000000	DT-I/0.000000	O/0.999987	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000001	Tr-B/0.000000	Tr-I/0.000001	unct-B/0.000000	unct-I/0.000007
四	CHN	Ch-B/0.995269	Bo-B/0.000881	Bo-I/0.000001	Ch-B/0.995269	Ch-I/0.000255	DT-B/0.000263	DT-I/0.000009	O/0.001279	Si-B/0.000276	Si-I/0.000001	Sy-B/0.000919	Sy-I/0.000000	Tr-B/0.000437	Tr-I/0.000001	unct-B/0.000403	unct-I/0.000003
肢	CHN	Ch-I/0.997880	Bo-B/0.000002	Bo-I/0.000249	Ch-B/0.000625	Ch-I/0.997880	DT-B/0.000002	DT-I/0.000026	O/0.000491	Si-B/0.000006	Si-I/0.000049	Sy-B/0.000006	Sy-I/0.000512	Tr-B/0.000013	Tr-I/0.000098	unct-B/0.000003	unct-I/0.000037
肌	CHN	Ch-I/0.998432	Bo-B/0.000000	Bo-I/0.000017	Ch-B/0.000620	Ch-I/0.998432	DT-B/0.000001	DT-I/0.000019	O/0.000365	Si-B/0.000001	Si-I/0.000033	Sy-B/0.000007	Sy-I/0.000419	Tr-B/0.000001	Tr-I/0.000073	unct-B/0.000001	unct-I/0.000009
力	CHN	Ch-I/0.997211	Bo-B/0.000006	Bo-I/0.000019	Ch-B/0.000018	Ch-I/0.997211	DT-B/0.000004	DT-I/0.000069	O/0.002064	Si-B/0.000028	Si-I/0.000061	Sy-B/0.000002	Sy-I/0.000420	Tr-B/0.000003	Tr-I/0.000078	unct-B/0.000004	unct-I/0.000014
5	NUM	O/0.995230	Bo-B/0.000060	Bo-I/0.000165	Ch-B/0.000020	Ch-I/0.002984	DT-B/0.000243	DT-I/0.000066	O/0.995230	Si-B/0.000227	Si-I/0.000685	Sy-B/0.000083	Sy-I/0.000143	Tr-B/0.000034	Tr-I/0.000015	unct-B/0.000023	unct-I/0.000022
级	CHN	O/0.997186	Bo-B/0.000044	Bo-I/0.000128	Ch-B/0.000116	Ch-I/0.000655	DT-B/0.000026	DT-I/0.000381	O/0.997186	Si-B/0.000050	Si-I/0.000946	Sy-B/0.000085	Sy-I/0.000230	Tr-B/0.000040	Tr-I/0.000047	unct-B/0.000019	unct-I/0.000046
,	PUNC	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
四	CHN	Ch-B/0.986682	Bo-B/0.000819	Bo-I/0.000002	Ch-B/0.986682	Ch-I/0.000263	DT-B/0.000232	DT-I/0.000010	O/0.006536	Si-B/0.000420	Si-I/0.000001	Sy-B/0.004174	Sy-I/0.000001	Tr-B/0.000475	Tr-I/0.000001	unct-B/0.000381	unct-I/0.000004
肢	CHN	Ch-I/0.990511	Bo-B/0.000006	Bo-I/0.000267	Ch-B/0.001517	Ch-I/0.990511	DT-B/0.000005	DT-I/0.000029	O/0.004249	Si-B/0.000013	Si-I/0.000061	Sy-B/0.000034	Sy-I/0.003160	Tr-B/0.000023	Tr-I/0.000077	unct-B/0.000007	unct-I/0.000042
肌	CHN	Ch-I/0.991920	Bo-B/0.000006	Bo-I/0.000124	Ch-B/0.001826	Ch-I/0.991920	DT-B/0.000002	DT-I/0.000015	O/0.003116	Si-B/0.000003	Si-I/0.000031	Sy-B/0.000016	Sy-I/0.002887	Tr-B/0.000005	Tr-I/0.000030	unct-B/0.000003	unct-I/0.000016
张	CHN	Ch-I/0.990934	Bo-B/0.000032	Bo-I/0.000170	Ch-B/0.000147	Ch-I/0.990934	DT-B/0.000004	DT-I/0.000032	O/0.005820	Si-B/0.000004	Si-I/0.000026	Sy-B/0.000018	Sy-I/0.002752	Tr-B/0.000008	Tr-I/0.000028	unct-B/0.000004	unct-I/0.000022
力	CHN	Ch-I/0.981756	Bo-B/0.000015	Bo-I/0.000575	Ch-B/0.000006	Ch-I/0.981756	DT-B/0.000008	DT-I/0.000138	O/0.014711	Si-B/0.000006	Si-I/0.000037	Sy-B/0.000003	Sy-I/0.002606	Tr-B/0.000012	Tr-I/0.000066	unct-B/0.000010	unct-I/0.000052
对	CHN	O/0.993060	Bo-B/0.000007	Bo-I/0.000040	Ch-B/0.000010	Ch-I/0.006536	DT-B/0.000003	DT-I/0.000042	O/0.993060	Si-B/0.000001	Si-I/0.000010	Sy-B/0.000003	Sy-I/0.000212	Tr-B/0.000012	Tr-I/0.000041	unct-B/0.000004	unct-I/0.000020
称	CHN	O/0.997091	Bo-B/0.000012	Bo-I/0.000021	Ch-B/0.000011	Ch-I/0.002625	DT-B/0.000003	DT-I/0.000015	O/0.997091	Si-B/0.000032	Si-I/0.000005	Sy-B/0.000015	Sy-I/0.000112	Tr-B/0.000014	Tr-I/0.000029	unct-B/0.000004	unct-I/0.000010
正	CHN	O/0.999860	Bo-B/0.000001	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000012	DT-B/0.000000	DT-I/0.000001	O/0.999860	Si-B/0.000001	Si-I/0.000013	Sy-B/0.000073	Sy-I/0.000027	Tr-B/0.000003	Tr-I/0.000006	unct-B/0.000000	unct-I/0.000002
常	CHN	O/0.999683	Bo-B/0.000009	Bo-I/0.000003	Ch-B/0.000014	Ch-I/0.000006	DT-B/0.000005	DT-I/0.000024	O/0.999683	Si-B/0.000009	Si-I/0.000036	Sy-B/0.000037	Sy-I/0.000126	Tr-B/0.000011	Tr-I/0.000016	unct-B/0.000004	unct-I/0.000017
,	PUNC	O/0.999998	Bo-B/0.000000	Bo-I/0.000000	Ch-B/0.000001	Ch-I/0.000000	DT-B/0.000000	DT-I/0.000000	O/0.999998	Si-B/0.000000	Si-I/0.000000	Sy-B/0.000001	Sy-I/0.000000	Tr-B/0.000000	Tr-I/0.000000	unct-B/0.000000	unct-I/0.000000
四	CHN	Ch-B/0.988368	Bo-B/0.000992	Bo-I/0.000002	Ch-B/0.988368	Ch-I/0.000259	DT-B/0.000236	DT-I/0.000011	O/0.006963	Si-B/0.000441	Si-I/0.000001	Sy-B/0.001801	Sy-I/0.000000	Tr-B/0.000521	Tr-I/0.000002	unct-B/0.000398	unct-I/0.000005
肢	CHN	Ch-I/0.992098	Bo-B/0.000006	Bo-I/0.000416	Ch-B/0.001874	Ch-I/0.992098	DT-B/0.000007	DT-I/0.000047	O/0.004447	Si-B/0.000016	Si-I/0.000084	Sy-B/0.000011	Sy-I/0.000747	Tr-B/0.000036	Tr-I/0.000130	unct-B/0.000010	unct-I/0.000069
腱	CHN	Ch-I/0.994854	Bo-B/0.000004	Bo-I/0.000123	Ch-B/0.000992	Ch-I/0.994854	DT-B/0.000003	DT-I/0.000024	O/0.003516	Si-B/0.000006	Si-I/0.000033	Sy-B/0.000007	Sy-I/0.000334	Tr-B/0.000014	Tr-I/0.000058	unct-B/0.000005	unct-I/0.000026
反	CHN	Ch-I/0.995827	Bo-B/0.000004	Bo-I/0.000072	Ch-B/0.000137	Ch-I/0.995827	DT-B/0.000001	DT-I/0.000010	O/0.003742	Si-B/0.000002	Si-I/0.000011	Sy-B/0.000002	Sy-I/0.000147	Tr-B/0.000005	Tr-I/0.000030	unct-B/0.000002	unct-I/0.000009
射	CHN	Ch-I/0.993678	Bo-B/0.000003	Bo-I/0.000118	Ch-B/0.000002	Ch-I/0.993678	DT-B/0.000002	DT-I/0.000020	O/0.005997	Si-B/0.000002	Si-I/0.000010	Sy-B/0.000001	Sy-I/0.000107	Tr-B/0.000003	Tr-I/0.000042	unct-B/0.000002	unct-I/0.000012
正	CHN	O/0.998579	Bo-B/0.000006	Bo-I/0.000005	Ch-B/0.000002	Ch-I/0.000970	DT-B/0.000002	DT-I/0.000038	O/0.998579	Si-B/0.000005	Si-I/0.000055	Sy-B/0.000153	Sy-I/0.000082	Tr-B/0.000011	Tr-I/0.000051	unct-B/0.000003	unct-I/0.000037
常	CHN	O/0.998941	Bo-B/0.000014	Bo-I/0.000009	Ch-B/0.000022	Ch-I/0.000285	DT-B/0.000008	DT-I/0.000063	O/0.998941	Si-B/0.000014	Si-I/0.000100	Sy-B/0.000058	Sy-I/0.000337	Tr-B/0.000018	Tr-I/0.000066	unct-B/0.000007	unct-I/0.000058
